City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Kobryn,BY,52.2138,24.3564,34.66,71,33,6.33,scattered clouds
306,Whitehorse,CA,60.7161,-135.0538,28.09,58,75,2.3,broken clouds
307,Koslan,RU,63.4564,48.8989,33.89,98,100,7.63,light snow
308,Mahibadhoo,MV,3.7833,72.9667,84.25,71,97,12.19,overcast clouds
309,Waingapu,ID,-9.6567,120.2641,79.14,86,100,5.23,overcast clouds
310,Ribeira Brava,PT,32.65,-17.0667,68.63,49,100,13.33,overcast clouds
311,Bekasi,ID,-6.2349,106.9896,81.03,85,100,3.56,overcast clouds
312,Half Moon Bay,US,37.4636,-122.4286,68.92,61,0,16.11,clear sky
313,Nemuro,JP,43.3236,145.575,39.34,85,39,6.64,scattered clouds
314,Sola,VU,-13.8833,167.55,81.82,73,87,5.64,overcast clouds
315,Mwinilunga,ZM,-11.7358,24.4293,62.53,97,95,3.76,light rain
316,Casablanca,MA,33.5928,-7.6192,68.32,72,95,8.99,overcast clouds
317,Staraya Toropa,RU,56.2801,31.6702,28.13,90,7,4.32,clear sky
318,Ostersund,SE,63.1792,14.6357,48.65,43,100,5.75,overcast clouds
319,Tripoli,LY,32.8752,13.1875,62.38,69,2,6.29,clear sky
320,Tyukhtet,RU,56.5389,89.3011,43.59,99,99,5.66,overcast clouds
321,Saint George,US,37.1041,-113.5841,83.79,13,0,3.0,clear sky
322,Kruisfontein,ZA,-34.0033,24.7314,58.89,90,2,5.59,clear sky
323,Kulti,IN,23.7333,86.85,78.73,66,1,3.8,clear sky
324,Iquique,CL,-20.2208,-70.1431,68.04,75,13,5.88,few clouds
325,San Vicente,AR,-26.6167,-54.1333,63.43,63,25,1.92,moderate rain
326,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.16,62,2,5.06,clear sky
327,Yagodnoye,RU,62.55,149.6667,8.19,96,100,2.19,overcast clouds
328,Markova,UA,48.6758,24.4138,27.52,86,34,4.52,scattered clouds
329,Lichinga,MZ,-13.3128,35.2406,66.29,94,20,11.5,few clouds
330,Amot,NO,59.5714,7.9877,33.06,83,97,4.07,overcast clouds
331,Puerto Madryn,AR,-42.7692,-65.0385,62.62,68,0,20.45,clear sky
332,Dunedin,NZ,-45.8742,170.5036,50.31,79,0,2.62,clear sky
333,Anshun,CN,26.25,105.9333,44.46,84,100,11.18,overcast clouds
334,Balkanabat,TM,39.5108,54.3671,54.64,83,94,1.19,overcast clouds
335,Tuatapere,NZ,-46.1333,167.6833,48.27,85,8,4.94,clear sky
336,Heihe,CN,50.2441,127.4902,27.18,52,67,3.49,broken clouds
337,Beloha,MG,-25.1667,45.05,73.36,87,72,11.99,broken clouds
338,Eydhafushi,MV,5.1033,73.0708,83.73,76,100,10.76,overcast clouds
339,Nanortalik,GL,60.1432,-45.2371,30.4,82,49,9.78,scattered clouds
340,Yar-Sale,RU,66.8333,70.8333,8.33,92,93,8.39,overcast clouds
341,Ostrovnoy,RU,68.0531,39.5131,33.4,90,100,14.23,overcast clouds
342,Prince Rupert,CA,54.3161,-130.3201,48.29,46,0,5.75,clear sky
